,word,property,string,float,open_brack,close_brack,open_curly,close_curly,comma,colon,lt,gt,eq,in,or,and,eof
word,,,,,<,>,,>,>,,>,>,>,>,>,>,>
property,,,,,,>,,,>,,>,>,>,>,>,>,>
string,,,,,,>,,>,>,>,>,>,>,>,>,>,>
float,,,,,,>,,>,>,>,>,>,>,>,>,>,>
open_brack,<,<,<,<,<,=,<,<,<,<,<,<,<,<,<,<,
close_brack,,,,,,>,>,>,>,>,>,>,>,>,>,>,>
open_curly,<,,<,<,<,>,<,=,<,<,<,<,<,<,<,<,
close_curly,,,,,<,>,,>,>,>,>,>,>,>,>,>,>
comma,<,<,<,<,<,>,<,>,>,<,>,>,>,>,>,>,>
colon,<,,<,<,<,>,<,>,>,,>,>,>,>,>,>,>
lt,<,<,<,<,<,>,<,>,>,>,,,,>,>,>,>
gt,<,<,<,<,<,>,<,>,>,>,,,,>,>,>,>
eq,<,<,<,<,<,>,<,>,>,>,,,,>,>,>,>
in,,<,,,<,>,<,>,>,>,,,,,>,>,>
or,<,<,<,<,<,>,<,>,>,>,<,<,<,<,>,<,>
and,<,<,<,<,<,>,<,>,>,>,<,<,<,<,>,>,>
eof,<,<,<,<,<,,<,,<,<,<,<,<,<,<,<,